date,Bawang Merah,Bawang Putih,Beras,Cabai Merah,Cabai Rawit,Minyak Goreng,year,month,day,day_of_week,week_of_year,quarter,is_weekend,is_ramadan,is_lebaran_window,is_nataru,is_harvest_season
2022-01-01,30150.0,29550.0,11150.0,28200.0,55650.0,19200.0,2022,1,1,5,52,1,1,0,0,1,0
2022-01-02,30150.0,29550.0,11150.0,28200.0,55650.0,19200.0,2022,1,2,6,52,1,1,0,0,1,0
2022-01-03,30500.0,30000.0,11150.0,27800.0,55300.0,19150.0,2022,1,3,0,1,1,0,0,0,1,0
2022-01-04,30150.0,30000.0,11150.0,27400.0,53500.0,19250.0,2022,1,4,1,1,1,0,0,0,1,0
2022-01-05,30500.0,30600.0,11150.0,27500.0,53150.0,19250.0,2022,1,5,2,1,1,0,0,0,1,0
2022-01-06,30250.0,30050.0,11150.0,26650.0,52700.0,19350.0,2022,1,6,3,1,1,0,0,0,1,0
2022-01-07,30150.0,30200.0,11150.0,26200.0,51850.0,19350.0,2022,1,7,4,1,1,0,0,0,1,0
2022-01-08,30150.0,30200.0,11150.0,26200.0,51850.0,19350.0,2022,1,8,5,1,1,1,0,0,0,0
2022-01-09,30150.0,30200.0,11150.0,26200.0,51850.0,19350.0,2022,1,9,6,1,1,1,0,0,0,0
2022-01-10,30150.0,29650.0,11150.0,25850.0,50250.0,19400.0,2022,1,10,0,2,1,0,0,0,0,0
2022-01-11,29550.0,30000.0,11150.0,25100.0,51250.0,19600.0,2022,1,11,1,2,1,0,0,0,0,0
2022-01-12,29800.0,29850.0,11150.0,25000.0,52200.0,19700.0,2022,1,12,2,2,1,0,0,0,0,0
2022-01-13,29900.0,30200.0,11200.0,23900.0,47800.0,19700.0,2022,1,13,3,2,1,0,0,0,0,0
2022-01-14,29700.0,30050.0,11200.0,23800.0,47450.0,19700.0,2022,1,14,4,2,1,0,0,0,0,0
2022-01-15,29700.0,30050.0,11200.0,23800.0,47450.0,19700.0,2022,1,15,5,2,1,1,0,0,0,0
2022-01-16,29700.0,30050.0,11200.0,23800.0,47450.0,19700.0,2022,1,16,6,2,1,1,0,0,0,0
2022-01-17,29650.0,30200.0,11200.0,24250.0,49800.0,19800.0,2022,1,17,0,3,1,0,0,0,0,0
2022-01-18,29600.0,30100.0,11200.0,23300.0,51350.0,19900.0,2022,1,18,1,3,1,0,0,0,0,0
2022-01-19,29650.0,30050.0,11200.0,23550.0,53300.0,19900.0,2022,1,19,2,3,1,0,0,0,0,0
2022-01-20,29700.0,30050.0,11200.0,23100.0,52050.0,19950.0,2022,1,20,3,3,1,0,0,0,0,0
2022-01-21,29600.0,30050.0,11200.0,22900.0,53200.0,20000.0,2022,1,21,4,3,1,0,0,0,0,0
2022-01-22,29600.0,30050.0,11200.0,22900.0,53200.0,20000.0,2022,1,22,5,3,1,1,0,0,0,0
2022-01-23,29600.0,30050.0,11200.0,22900.0,53200.0,20000.0,2022,1,23,6,3,1,1,0,0,0,0
2022-01-24,29700.0,30050.0,11200.0,22850.0,49650.0,20000.0,2022,1,24,0,4,1,0,0,0,0,0
2022-01-25,29700.0,30050.0,11200.0,22650.0,47150.0,19950.0,2022,1,25,1,4,1,0,0,0,0,0
2022-01-26,29350.0,30000.0,11200.0,22500.0,47550.0,19950.0,2022,1,26,2,4,1,0,0,0,0,0
2022-01-27,29650.0,30100.0,11200.0,22700.0,47550.0,19900.0,2022,1,27,3,4,1,0,0,0,0,0
2022-01-28,29650.0,30000.0,11200.0,22500.0,47850.0,19900.0,2022,1,28,4,4,1,0,0,0,0,0
2022-01-29,29650.0,30000.0,11200.0,22500.0,47850.0,19900.0,2022,1,29,5,4,1,1,0,0,0,0
2022-01-30,29650.0,30000.0,11200.0,22500.0,47850.0,19900.0,2022,1,30,6,4,1,1,0,0,0,0
2022-01-31,29950.0,30050.0,11200.0,24550.0,48200.0,19700.0,2022,1,31,0,5,1,0,0,0,0,0
2022-02-01,29950.0,30050.0,11200.0,24550.0,48200.0,19700.0,2022,2,1,1,5,1,0,0,0,0,0
2022-02-02,30700.0,29900.0,11200.0,24600.0,47750.0,19700.0,2022,2,2,2,5,1,0,0,0,0,0
2022-02-03,30800.0,30000.0,11250.0,23750.0,45900.0,19650.0,2022,2,3,3,5,1,0,0,0,0,0
2022-02-04,30700.0,29900.0,11250.0,24200.0,46100.0,19600.0,2022,2,4,4,5,1,0,0,0,0,0
2022-02-05,30700.0,29900.0,11250.0,24200.0,46100.0,19600.0,2022,2,5,5,5,1,1,0,0,0,0
2022-02-06,30700.0,29900.0,11250.0,24200.0,46100.0,19600.0,2022,2,6,6,5,1,1,0,0,0,0
2022-02-07,31200.0,30000.0,11250.0,25350.0,45950.0,19550.0,2022,2,7,0,6,1,0,0,0,0,0
2022-02-08,31650.0,30250.0,11250.0,25150.0,43650.0,19400.0,2022,2,8,1,6,1,0,0,0,0,0
2022-02-09,32450.0,30250.0,11250.0,25650.0,43550.0,19400.0,2022,2,9,2,6,1,0,0,0,0,0
2022-02-10,32350.0,29950.0,11250.0,26900.0,42800.0,19400.0,2022,2,10,3,6,1,0,0,0,0,0
2022-02-11,33450.0,30150.0,11250.0,35200.0,43950.0,19500.0,2022,2,11,4,6,1,0,0,0,0,0
2022-02-12,33450.0,30150.0,11250.0,35200.0,43950.0,19500.0,2022,2,12,5,6,1,1,0,0,0,0
2022-02-13,33450.0,30150.0,11250.0,35200.0,43950.0,19500.0,2022,2,13,6,6,1,1,0,0,0,0
2022-02-14,33950.0,30500.0,11250.0,35100.0,40750.0,20300.0,2022,2,14,0,7,1,0,0,0,0,0
2022-02-15,34500.0,30350.0,11250.0,34650.0,40450.0,20300.0,2022,2,15,1,7,1,0,0,0,0,0
2022-02-16,34500.0,30350.0,11250.0,35500.0,40300.0,20300.0,2022,2,16,2,7,1,0,0,0,0,0
2022-02-17,34550.0,30400.0,11250.0,36850.0,39900.0,20100.0,2022,2,17,3,7,1,0,0,0,0,0
2022-02-18,34650.0,30400.0,11250.0,37950.0,40000.0,20100.0,2022,2,18,4,7,1,0,0,0,0,0
2022-02-19,34650.0,30400.0,11250.0,37950.0,40000.0,20100.0,2022,2,19,5,7,1,1,0,0,0,0
2022-02-20,34650.0,30400.0,11250.0,37950.0,40000.0,20100.0,2022,2,20,6,7,1,1,0,0,0,0
