Date_Scraped,Date_Param,Commodity_ID,Commodity_Name,Province_ID,Province_Name,Price,Price_Type
2026-02-12,2022-01-01,6,Bawang Putih,1,Aceh,28750.0,1
2026-02-12,2022-01-01,6,Bawang Putih,2,Sumatera Utara,29550.0,1
2026-02-12,2022-01-01,6,Bawang Putih,3,Sumatera Barat,26650.0,1
2026-02-12,2022-01-01,6,Bawang Putih,4,Riau,27850.0,1
2026-02-12,2022-01-01,6,Bawang Putih,5,Kepulauan Riau,29600.0,1
2026-02-12,2022-01-01,6,Bawang Putih,6,Jambi,25250.0,1
2026-02-12,2022-01-01,6,Bawang Putih,7,Bengkulu,28400.0,1
2026-02-12,2022-01-01,6,Bawang Putih,8,Sumatera Selatan,29750.0,1
2026-02-12,2022-01-01,6,Bawang Putih,9,Kepulauan Bangka Belitung,28250.0,1
2026-02-12,2022-01-01,6,Bawang Putih,10,Lampung,27000.0,1
2026-02-12,2022-01-01,6,Bawang Putih,11,Banten,27000.0,1
2026-02-12,2022-01-01,6,Bawang Putih,12,Jawa Barat,28400.0,1
2026-02-12,2022-01-01,6,Bawang Putih,13,DKI Jakarta,34500.0,1
2026-02-12,2022-01-01,6,Bawang Putih,14,Jawa Tengah,27800.0,1
2026-02-12,2022-01-01,6,Bawang Putih,15,DI Yogyakarta,28750.0,1
2026-02-12,2022-01-01,6,Bawang Putih,16,Jawa Timur,23950.0,1
2026-02-12,2022-01-01,6,Bawang Putih,17,Bali,23250.0,1
2026-02-12,2022-01-01,6,Bawang Putih,18,Nusa Tenggara Barat,26400.0,1
2026-02-12,2022-01-01,6,Bawang Putih,19,Nusa Tenggara Timur,30400.0,1
2026-02-12,2022-01-01,6,Bawang Putih,20,Kalimantan Barat,28350.0,1
2026-02-12,2022-01-01,6,Bawang Putih,21,Kalimantan Selatan,27350.0,1
2026-02-12,2022-01-01,6,Bawang Putih,22,Kalimantan Tengah,29250.0,1
2026-02-12,2022-01-01,6,Bawang Putih,23,Kalimantan Timur,29150.0,1
2026-02-12,2022-01-01,6,Bawang Putih,24,Kalimantan Utara,31650.0,1
2026-02-12,2022-01-01,6,Bawang Putih,25,Gorontalo,36150.0,1
2026-02-12,2022-01-01,6,Bawang Putih,26,Sulawesi Selatan,26650.0,1
2026-02-12,2022-01-01,6,Bawang Putih,27,Sulawesi Tenggara,32500.0,1
2026-02-12,2022-01-01,6,Bawang Putih,28,Sulawesi Tengah,31500.0,1
2026-02-12,2022-01-01,6,Bawang Putih,29,Sulawesi Utara,31750.0,1
2026-02-12,2022-01-01,6,Bawang Putih,30,Sulawesi Barat,30500.0,1
2026-02-12,2022-01-01,6,Bawang Putih,31,Maluku,32500.0,1
2026-02-12,2022-01-01,6,Bawang Putih,32,Maluku Utara,42500.0,1
2026-02-12,2022-01-01,6,Bawang Putih,33,Papua,37600.0,1
2026-02-12,2022-01-01,6,Bawang Putih,34,Papua Barat,45000.0,1
2026-02-12,2022-01-02,6,Bawang Putih,1,Aceh,28750.0,1
2026-02-12,2022-01-02,6,Bawang Putih,2,Sumatera Utara,29550.0,1
2026-02-12,2022-01-02,6,Bawang Putih,3,Sumatera Barat,26650.0,1
2026-02-12,2022-01-02,6,Bawang Putih,4,Riau,27850.0,1
2026-02-12,2022-01-02,6,Bawang Putih,5,Kepulauan Riau,29600.0,1
2026-02-12,2022-01-02,6,Bawang Putih,6,Jambi,25250.0,1
2026-02-12,2022-01-02,6,Bawang Putih,7,Bengkulu,28400.0,1
2026-02-12,2022-01-02,6,Bawang Putih,8,Sumatera Selatan,29750.0,1
2026-02-12,2022-01-02,6,Bawang Putih,9,Kepulauan Bangka Belitung,28250.0,1
2026-02-12,2022-01-02,6,Bawang Putih,10,Lampung,27000.0,1
2026-02-12,2022-01-02,6,Bawang Putih,11,Banten,27000.0,1
2026-02-12,2022-01-02,6,Bawang Putih,12,Jawa Barat,28400.0,1
2026-02-12,2022-01-02,6,Bawang Putih,13,DKI Jakarta,34500.0,1
2026-02-12,2022-01-02,6,Bawang Putih,14,Jawa Tengah,27800.0,1
2026-02-12,2022-01-02,6,Bawang Putih,15,DI Yogyakarta,28750.0,1
2026-02-12,2022-01-02,6,Bawang Putih,16,Jawa Timur,23950.0,1
2026-02-12,2022-01-02,6,Bawang Putih,17,Bali,23250.0,1
2026-02-12,2022-01-02,6,Bawang Putih,18,Nusa Tenggara Barat,26400.0,1
2026-02-12,2022-01-02,6,Bawang Putih,19,Nusa Tenggara Timur,30400.0,1
2026-02-12,2022-01-02,6,Bawang Putih,20,Kalimantan Barat,28350.0,1
2026-02-12,2022-01-02,6,Bawang Putih,21,Kalimantan Selatan,27350.0,1
2026-02-12,2022-01-02,6,Bawang Putih,22,Kalimantan Tengah,29250.0,1
2026-02-12,2022-01-02,6,Bawang Putih,23,Kalimantan Timur,29150.0,1
2026-02-12,2022-01-02,6,Bawang Putih,24,Kalimantan Utara,31650.0,1
2026-02-12,2022-01-02,6,Bawang Putih,25,Gorontalo,36150.0,1
2026-02-12,2022-01-02,6,Bawang Putih,26,Sulawesi Selatan,26650.0,1
2026-02-12,2022-01-02,6,Bawang Putih,27,Sulawesi Tenggara,32500.0,1
2026-02-12,2022-01-02,6,Bawang Putih,28,Sulawesi Tengah,31500.0,1
2026-02-12,2022-01-02,6,Bawang Putih,29,Sulawesi Utara,31750.0,1
2026-02-12,2022-01-02,6,Bawang Putih,30,Sulawesi Barat,30500.0,1
2026-02-12,2022-01-02,6,Bawang Putih,31,Maluku,32500.0,1
2026-02-12,2022-01-02,6,Bawang Putih,32,Maluku Utara,42500.0,1
2026-02-12,2022-01-02,6,Bawang Putih,33,Papua,37600.0,1
2026-02-12,2022-01-02,6,Bawang Putih,34,Papua Barat,45000.0,1
2026-02-12,2022-01-03,6,Bawang Putih,1,Aceh,29100.0,1
2026-02-12,2022-01-03,6,Bawang Putih,2,Sumatera Utara,30000.0,1
2026-02-12,2022-01-03,6,Bawang Putih,3,Sumatera Barat,26650.0,1
2026-02-12,2022-01-03,6,Bawang Putih,4,Riau,27900.0,1
2026-02-12,2022-01-03,6,Bawang Putih,5,Kepulauan Riau,30700.0,1
2026-02-12,2022-01-03,6,Bawang Putih,6,Jambi,25250.0,1
2026-02-12,2022-01-03,6,Bawang Putih,7,Bengkulu,28400.0,1
2026-02-12,2022-01-03,6,Bawang Putih,8,Sumatera Selatan,31000.0,1
2026-02-12,2022-01-03,6,Bawang Putih,9,Kepulauan Bangka Belitung,28250.0,1
2026-02-12,2022-01-03,6,Bawang Putih,10,Lampung,27000.0,1
2026-02-12,2022-01-03,6,Bawang Putih,11,Banten,26500.0,1
2026-02-12,2022-01-03,6,Bawang Putih,12,Jawa Barat,28500.0,1
2026-02-12,2022-01-03,6,Bawang Putih,13,DKI Jakarta,34500.0,1
2026-02-12,2022-01-03,6,Bawang Putih,14,Jawa Tengah,27850.0,1
2026-02-12,2022-01-03,6,Bawang Putih,15,DI Yogyakarta,28750.0,1
2026-02-12,2022-01-03,6,Bawang Putih,16,Jawa Timur,24150.0,1
2026-02-12,2022-01-03,6,Bawang Putih,17,Bali,23400.0,1
2026-02-12,2022-01-03,6,Bawang Putih,18,Nusa Tenggara Barat,26450.0,1
2026-02-12,2022-01-03,6,Bawang Putih,19,Nusa Tenggara Timur,30400.0,1
2026-02-12,2022-01-03,6,Bawang Putih,20,Kalimantan Barat,28600.0,1
2026-02-12,2022-01-03,6,Bawang Putih,21,Kalimantan Selatan,27250.0,1
2026-02-12,2022-01-03,6,Bawang Putih,22,Kalimantan Tengah,29250.0,1
2026-02-12,2022-01-03,6,Bawang Putih,23,Kalimantan Timur,30150.0,1
2026-02-12,2022-01-03,6,Bawang Putih,24,Kalimantan Utara,31900.0,1
2026-02-12,2022-01-03,6,Bawang Putih,25,Gorontalo,37000.0,1
2026-02-12,2022-01-03,6,Bawang Putih,26,Sulawesi Selatan,26850.0,1
2026-02-12,2022-01-03,6,Bawang Putih,27,Sulawesi Tenggara,32500.0,1
2026-02-12,2022-01-03,6,Bawang Putih,28,Sulawesi Tengah,31500.0,1
2026-02-12,2022-01-03,6,Bawang Putih,29,Sulawesi Utara,31750.0,1
2026-02-12,2022-01-03,6,Bawang Putih,30,Sulawesi Barat,26250.0,1
