Date_Scraped,Date_Param,Commodity_ID,Commodity_Name,Province_ID,Province_Name,Price,Price_Type
2026-02-12,2022-01-01,7,Cabai Merah,1,Aceh,23500.0,1
2026-02-12,2022-01-01,7,Cabai Merah,2,Sumatera Utara,28200.0,1
2026-02-12,2022-01-01,7,Cabai Merah,3,Sumatera Barat,37250.0,1
2026-02-12,2022-01-01,7,Cabai Merah,4,Riau,31800.0,1
2026-02-12,2022-01-01,7,Cabai Merah,5,Kepulauan Riau,45050.0,1
2026-02-12,2022-01-01,7,Cabai Merah,6,Jambi,23850.0,1
2026-02-12,2022-01-01,7,Cabai Merah,7,Bengkulu,28700.0,1
2026-02-12,2022-01-01,7,Cabai Merah,8,Sumatera Selatan,39850.0,1
2026-02-12,2022-01-01,7,Cabai Merah,9,Kepulauan Bangka Belitung,58450.0,1
2026-02-12,2022-01-01,7,Cabai Merah,10,Lampung,36400.0,1
2026-02-12,2022-01-01,7,Cabai Merah,11,Banten,41100.0,1
2026-02-12,2022-01-01,7,Cabai Merah,12,Jawa Barat,38950.0,1
2026-02-12,2022-01-01,7,Cabai Merah,13,DKI Jakarta,52500.0,1
2026-02-12,2022-01-01,7,Cabai Merah,14,Jawa Tengah,32000.0,1
2026-02-12,2022-01-01,7,Cabai Merah,15,DI Yogyakarta,40000.0,1
2026-02-12,2022-01-01,7,Cabai Merah,16,Jawa Timur,25300.0,1
2026-02-12,2022-01-01,7,Cabai Merah,17,Bali,20950.0,1
2026-02-12,2022-01-01,7,Cabai Merah,18,Nusa Tenggara Barat,26400.0,1
2026-02-12,2022-01-01,7,Cabai Merah,19,Nusa Tenggara Timur,41900.0,1
2026-02-12,2022-01-01,7,Cabai Merah,20,Kalimantan Barat,60800.0,1
2026-02-12,2022-01-01,7,Cabai Merah,21,Kalimantan Selatan,61250.0,1
2026-02-12,2022-01-01,7,Cabai Merah,22,Kalimantan Tengah,80000.0,1
2026-02-12,2022-01-01,7,Cabai Merah,23,Kalimantan Timur,72100.0,1
2026-02-12,2022-01-01,7,Cabai Merah,24,Kalimantan Utara,72550.0,1
2026-02-12,2022-01-01,7,Cabai Merah,25,Gorontalo,61650.0,1
2026-02-12,2022-01-01,7,Cabai Merah,26,Sulawesi Selatan,38600.0,1
2026-02-12,2022-01-01,7,Cabai Merah,27,Sulawesi Tenggara,57200.0,1
2026-02-12,2022-01-01,7,Cabai Merah,28,Sulawesi Tengah,47250.0,1
2026-02-12,2022-01-01,7,Cabai Merah,29,Sulawesi Utara,46250.0,1
2026-02-12,2022-01-01,7,Cabai Merah,30,Sulawesi Barat,47450.0,1
2026-02-12,2022-01-01,7,Cabai Merah,31,Maluku,96900.0,1
2026-02-12,2022-01-01,7,Cabai Merah,32,Maluku Utara,77500.0,1
2026-02-12,2022-01-01,7,Cabai Merah,33,Papua,81250.0,1
2026-02-12,2022-01-01,7,Cabai Merah,34,Papua Barat,81250.0,1
2026-02-12,2022-01-02,7,Cabai Merah,1,Aceh,23500.0,1
2026-02-12,2022-01-02,7,Cabai Merah,2,Sumatera Utara,28200.0,1
2026-02-12,2022-01-02,7,Cabai Merah,3,Sumatera Barat,37250.0,1
2026-02-12,2022-01-02,7,Cabai Merah,4,Riau,31800.0,1
2026-02-12,2022-01-02,7,Cabai Merah,5,Kepulauan Riau,45050.0,1
2026-02-12,2022-01-02,7,Cabai Merah,6,Jambi,23850.0,1
2026-02-12,2022-01-02,7,Cabai Merah,7,Bengkulu,28700.0,1
2026-02-12,2022-01-02,7,Cabai Merah,8,Sumatera Selatan,39850.0,1
2026-02-12,2022-01-02,7,Cabai Merah,9,Kepulauan Bangka Belitung,58450.0,1
2026-02-12,2022-01-02,7,Cabai Merah,10,Lampung,36400.0,1
2026-02-12,2022-01-02,7,Cabai Merah,11,Banten,41100.0,1
2026-02-12,2022-01-02,7,Cabai Merah,12,Jawa Barat,38950.0,1
2026-02-12,2022-01-02,7,Cabai Merah,13,DKI Jakarta,52500.0,1
2026-02-12,2022-01-02,7,Cabai Merah,14,Jawa Tengah,32000.0,1
2026-02-12,2022-01-02,7,Cabai Merah,15,DI Yogyakarta,40000.0,1
2026-02-12,2022-01-02,7,Cabai Merah,16,Jawa Timur,25300.0,1
2026-02-12,2022-01-02,7,Cabai Merah,17,Bali,20950.0,1
2026-02-12,2022-01-02,7,Cabai Merah,18,Nusa Tenggara Barat,26400.0,1
2026-02-12,2022-01-02,7,Cabai Merah,19,Nusa Tenggara Timur,41900.0,1
2026-02-12,2022-01-02,7,Cabai Merah,20,Kalimantan Barat,60800.0,1
2026-02-12,2022-01-02,7,Cabai Merah,21,Kalimantan Selatan,61250.0,1
2026-02-12,2022-01-02,7,Cabai Merah,22,Kalimantan Tengah,80000.0,1
2026-02-12,2022-01-02,7,Cabai Merah,23,Kalimantan Timur,72100.0,1
2026-02-12,2022-01-02,7,Cabai Merah,24,Kalimantan Utara,72550.0,1
2026-02-12,2022-01-02,7,Cabai Merah,25,Gorontalo,61650.0,1
2026-02-12,2022-01-02,7,Cabai Merah,26,Sulawesi Selatan,38600.0,1
2026-02-12,2022-01-02,7,Cabai Merah,27,Sulawesi Tenggara,57200.0,1
2026-02-12,2022-01-02,7,Cabai Merah,28,Sulawesi Tengah,47250.0,1
2026-02-12,2022-01-02,7,Cabai Merah,29,Sulawesi Utara,46250.0,1
2026-02-12,2022-01-02,7,Cabai Merah,30,Sulawesi Barat,47450.0,1
2026-02-12,2022-01-02,7,Cabai Merah,31,Maluku,96900.0,1
2026-02-12,2022-01-02,7,Cabai Merah,32,Maluku Utara,77500.0,1
2026-02-12,2022-01-02,7,Cabai Merah,33,Papua,81250.0,1
2026-02-12,2022-01-02,7,Cabai Merah,34,Papua Barat,81250.0,1
2026-02-12,2022-01-03,7,Cabai Merah,1,Aceh,23100.0,1
2026-02-12,2022-01-03,7,Cabai Merah,2,Sumatera Utara,27800.0,1
2026-02-12,2022-01-03,7,Cabai Merah,3,Sumatera Barat,38400.0,1
2026-02-12,2022-01-03,7,Cabai Merah,4,Riau,36900.0,1
2026-02-12,2022-01-03,7,Cabai Merah,5,Kepulauan Riau,41950.0,1
2026-02-12,2022-01-03,7,Cabai Merah,6,Jambi,30450.0,1
2026-02-12,2022-01-03,7,Cabai Merah,7,Bengkulu,30650.0,1
2026-02-12,2022-01-03,7,Cabai Merah,8,Sumatera Selatan,39150.0,1
2026-02-12,2022-01-03,7,Cabai Merah,9,Kepulauan Bangka Belitung,58650.0,1
2026-02-12,2022-01-03,7,Cabai Merah,10,Lampung,35700.0,1
2026-02-12,2022-01-03,7,Cabai Merah,11,Banten,39100.0,1
2026-02-12,2022-01-03,7,Cabai Merah,12,Jawa Barat,38350.0,1
2026-02-12,2022-01-03,7,Cabai Merah,13,DKI Jakarta,49150.0,1
2026-02-12,2022-01-03,7,Cabai Merah,14,Jawa Tengah,29900.0,1
2026-02-12,2022-01-03,7,Cabai Merah,15,DI Yogyakarta,42900.0,1
2026-02-12,2022-01-03,7,Cabai Merah,16,Jawa Timur,25950.0,1
2026-02-12,2022-01-03,7,Cabai Merah,17,Bali,21900.0,1
2026-02-12,2022-01-03,7,Cabai Merah,18,Nusa Tenggara Barat,26400.0,1
2026-02-12,2022-01-03,7,Cabai Merah,19,Nusa Tenggara Timur,44400.0,1
2026-02-12,2022-01-03,7,Cabai Merah,20,Kalimantan Barat,56450.0,1
2026-02-12,2022-01-03,7,Cabai Merah,21,Kalimantan Selatan,59600.0,1
2026-02-12,2022-01-03,7,Cabai Merah,22,Kalimantan Tengah,80000.0,1
2026-02-12,2022-01-03,7,Cabai Merah,23,Kalimantan Timur,66050.0,1
2026-02-12,2022-01-03,7,Cabai Merah,24,Kalimantan Utara,69700.0,1
2026-02-12,2022-01-03,7,Cabai Merah,25,Gorontalo,58350.0,1
2026-02-12,2022-01-03,7,Cabai Merah,26,Sulawesi Selatan,34550.0,1
2026-02-12,2022-01-03,7,Cabai Merah,27,Sulawesi Tenggara,52550.0,1
2026-02-12,2022-01-03,7,Cabai Merah,28,Sulawesi Tengah,46650.0,1
2026-02-12,2022-01-03,7,Cabai Merah,29,Sulawesi Utara,45400.0,1
2026-02-12,2022-01-03,7,Cabai Merah,30,Sulawesi Barat,46250.0,1
2026-02-12,2022-01-03,7,Cabai Merah,31,Maluku,97500.0,1
2026-02-12,2022-01-03,7,Cabai Merah,32,Maluku Utara,70000.0,1
2026-02-12,2022-01-03,7,Cabai Merah,33,Papua,75850.0,1
2026-02-12,2022-01-03,7,Cabai Merah,34,Papua Barat,75000.0,1
2026-02-12,2022-01-04,7,Cabai Merah,1,Aceh,23100.0,1
2026-02-12,2022-01-04,7,Cabai Merah,2,Sumatera Utara,27400.0,1
2026-02-12,2022-01-04,7,Cabai Merah,3,Sumatera Barat,39150.0,1
2026-02-12,2022-01-04,7,Cabai Merah,4,Riau,37300.0,1
2026-02-12,2022-01-04,7,Cabai Merah,5,Kepulauan Riau,41950.0,1
2026-02-12,2022-01-04,7,Cabai Merah,6,Jambi,27850.0,1
2026-02-12,2022-01-04,7,Cabai Merah,7,Bengkulu,31400.0,1
